time,open,high,low,close,tick_volume,spread,real_volume
1708421400,2022.24,2022.57,2021.33,2021.79,1906,16,0
1708422300,2021.79,2022.01,2020.8,2021.46,1875,16,0
1708423200,2021.44,2021.73,2020.64,2021.14,1953,16,0
1708424100,2021.27,2022.48,2020.82,2022.15,2255,16,0
1708425000,2022.37,2022.7,2020.86,2021.77,2167,16,0
1708425900,2021.77,2023.07,2021.47,2022.91,2104,16,0
1708426800,2022.86,2024.17,2022.45,2023.24,2307,16,0
1708427700,2023.21,2023.87,2022.73,2023.68,2064,16,0
1708428600,2023.65,2025.22,2022.95,2024.5,2127,16,0
1708429500,2024.49,2025.17,2022.99,2024.14,2205,16,0
1708430400,2024.15,2024.69,2023.41,2024.36,1984,16,0
1708431300,2024.36,2026.81,2024.2,2026.39,2164,16,0
1708432200,2026.39,2027.12,2025.82,2026.8,2183,16,0
1708433100,2026.8,2027.63,2025.72,2025.96,2086,16,0
1708434000,2025.97,2027.38,2025.38,2026.21,2569,16,0
1708434900,2026.22,2026.42,2025.15,2025.87,2533,16,0
1708435800,2025.87,2027.18,2025.32,2025.32,2160,16,0
1708436700,2025.55,2027.1,2025.49,2026.76,1778,16,0
1708437600,2026.78,2027.84,2026.51,2027.63,2169,16,0
1708438500,2027.62,2028.09,2026.72,2027.12,1894,16,0
1708439400,2027.12,2027.68,2026.19,2026.79,1917,16,0
1708440300,2026.79,2027.29,2026.14,2026.62,1888,16,0
1708441200,2026.64,2028.11,2026.01,2027.89,2586,16,0
1708442100,2027.88,2028.26,2026.65,2028.07,2664,16,0
1708443000,2028.4,2030.22,2027.41,2029.62,3694,16,0
1708443900,2029.68,2030.87,2029.34,2029.93,2566,16,0
1708444800,2030.02,2030.94,2027.87,2030.47,2834,16,0
1708445700,2030.47,2030.59,2028.52,2029.5,2583,16,0
1708446600,2029.5,2029.58,2025.88,2025.9,3750,16,0
1708447500,2025.91,2028.43,2025.39,2028.03,2842,16,0
1708448400,2028.01,2029.8,2026.97,2027.72,3130,16,0
1708449300,2027.72,2029.93,2026.93,2029.03,2394,16,0
1708450200,2029.03,2030.1,2025.81,2026.64,2806,16,0
1708451100,2026.64,2027.97,2026.62,2027.32,2194,16,0
1708452000,2027.33,2027.73,2025.9,2026.64,2175,16,0
